source,checked_date,extension_identifier,msft_classification_type,exists_in_dataset
malicious_list,2025-09-17,498.pythonformat,Malicious,yes
removed_list,2025-10-19,ab-498.cppformat,Malware,yes
removed_list,2025-10-19,ab-498.cppplayground,Malware,yes
malicious_list,2025-09-17,ab-498.httpformat,Malicious,yes
removed_list,2025-10-19,ab-498.pythonformat,Malware,yes
removed_list,2025-10-19,ahban.cychelloworld,Malware,yes
removed_list,2025-10-19,ahban.shiba,Malware,yes
removed_list,2025-10-19,AllenBarry.Solid,Malware,yes
malicious_list,2025-09-17,benawad.vsinder,Malicious,yes
removed_list,2025-10-19,better-sollidity.sollidity-plus,Malware,yes
malicious_list,2025-09-17,bipro.bipro-dev,Malicious,yes
removed_list,2025-10-19,blackforest.blackforest-1234,Malware,yes
malicious_list,2025-09-17,visualstuiocode.emmet,Malicious,no
malicious_list,2025-09-17,BlancoFoundation.Truffle,Malicious,yes
removed_list,2025-10-19,BlockchainWEB3.blankebestxstnion,Malware,yes
removed_list,2025-10-19,bug-author.shadure,Malware,yes
malicious_list,2025-09-17,KazuoCode.gthubsum,Malicious,no
removed_list,2025-10-19,ceo.sammarco,Malware,yes
malicious_list,2025-09-17,code-tester.code-tester,Malicious,yes
malicious_list,2025-09-17,darcula-theme.darcula-official,Malicious,yes
removed_list,2025-10-19,discord-inc.discord-rich-presence-rpc,Malware,yes
malicious_list,2025-09-17,edr-test.pyhton,Malicious,yes
removed_list,2025-10-19,ErickChandra.socratic-code-hinter,Malware,yes
malicious_list,2025-09-17,Ericsson123.DarkThemed,Malicious,yes
removed_list,2025-10-19,ethanielliu.audit-helper,Malware,yes
removed_list,2025-10-19,ethcompiler.among-eth,Malware,yes
malicious_list,2025-09-17,Ethereum.SoliditySupport,Malicious,yes
malicious_list,2025-09-17,EthereumFoundation.Solidity-for-Ethereum-Language,Malicious,yes
malicious_list,2025-09-17,EthereumFoundation.Solidity-Language-for-Ethereum,Malicious,yes
malicious_list,2025-09-17,BXDS-DLP.BXDS-DLP,Malicious,no
malicious_list,2025-09-17,kyntrack.log-matrix,Malicious,no
malicious_list,2025-09-17,kyntrack.track-vscode,Malicious,no
malicious_list,2025-09-17,ethereumorg.Solidity-Language-for-Ethereum,Malicious,yes
removed_list,2025-10-19,evaera-rbx.vscode-rojo-rbx,Malware,yes
malicious_list,2025-09-17,EVM.Blockchain-Toolkit,Malicious,yes
malicious_list,2025-09-17,syj-first-extension.code-whisperer,Malicious,no
removed_list,2025-10-19,Expressjs.expressjs-session,Malware,yes
malicious_list,2025-09-17,FlydCode.codelinter,Malicious,yes
malicious_list,2025-09-17,darcula-theme2.darcula-official2,Malicious,no
malicious_list,2025-09-17,FlydCode.codewithfriends,Malicious,yes
malicious_list,2025-09-17,GavinWood.SolidityLang,Malicious,yes
malicious_list,2025-09-17,A-M.idxmlfun930470,Malicious,no
malicious_list,2025-09-17,A-M.angelica-color-theme,Malicious,no
malicious_list,2025-09-17,A-M.idmarkdownfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idjsonfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idsqlfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idhtmlfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idyamlfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idgroovyfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idobjectivea2cfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idcssfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idca17fun930470,Malicious,no
malicious_list,2025-09-17,A-M.idgradlefun930470,Malicious,no
malicious_list,2025-09-17,A-M.idphpfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idpythonfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idjavascriptfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idjavafun930470,Malicious,no
malicious_list,2025-09-17,A-M.idmatlabfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idca24a24fun930470,Malicious,no
malicious_list,2025-09-17,A-M.iddartfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idbasicfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idshellfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idkotlinfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idvba1netfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idcfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idrustfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idrubyfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idswiftfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idscalafun930470,Malicious,no
malicious_list,2025-09-17,A-M.idperlfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idspellfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idhaskellfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idpascalfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idrfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idtypescriptfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idfortranfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idgofun930470,Malicious,no
malicious_list,2025-09-17,A-M.idluafun930470,Malicious,no
malicious_list,2025-09-17,A-M.idactionscriptfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idtclfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idclojurefun930470,Malicious,no
malicious_list,2025-09-17,A-M.idvhdlfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idbashfun930470,Malicious,no
malicious_list,2025-09-17,A-M.idfa17fun930470,Malicious,no
