captured_date,source,msft_classification_type,extension_identifier,publisher_name,version,artifact,sha256,size_mb,published_date,last_updated_date,verified_publisher,installation_count,average_rating,rating_count,categories,repository_url,flags,engines_vscode,exists_in_dataset
2025-10-31,removed_list,Malware,DavidAsh.dcbox-vs,DavidAsh,0.0.3,DavidAsh.dcbox-vs-0.0.3.vsix,8000cb690520e24f0bde339bdae7c776368f3b1b030d5ea464d155664e909116,0.03,2025-10-30,2025-10-30,false,6913,null,null,Other,none,validated;public,^1.105.0,vsmex
2025-10-31,removed_list,Malware,DavidAsh.gruvbox-vs,DavidAsh,0.0.1,DavidAsh.gruvbox-vs-0.0.1.vsix,bd5f0b4893152e3d9b9624230c244fad5a17618ad18bca66f22f56f075d3ab18,0.02,2025-10-30,2025-10-30,false,null,null,null,Other,none,validated;public,^1.105.0,vsmex
2025-10-31,removed_list,Malware,DavidAsh.tr-lang-pack,DavidAsh,0.0.1,DavidAsh.tr-lang-pack-0.0.1.vsix,b5602084b3d470eec9c1472958cf6b46bbbbf12f024ec3b247edfa318c335557,0.01,2025-10-30,2025-10-30,false,null,null,null,Other,none,validated;public,^1.105.0,vsmex
2025-10-31,removed_list,Impersonation;Malware,DevelopmentInc.cfx-lua-vs,DevelopmentInc,0.0.1,DevelopmentInc.cfx-lua-vs-0.0.1.vsix,23ffbf549b34bf2569300ca88f663d186abb8748d72a07d5b7b0b80de7593cef,0.03,2025-10-30,2025-10-30,false,224,5,1,Other,none,validated;public,^1.105.0,vsmex
2025-10-31,removed_list,Impersonation;Malware,DevelopmentInc.kombai-vs,DevelopmentInc,0.0.1,DevelopmentInc.kombai-vs-0.0.1.vsix,092927de320ae9979142c4e496674a7271103490e5efca5e4eab3a813f540c05,0.09,2025-10-29,2025-10-29,false,null,null,null,Other,none,validated;public,^1.105.0,vsmex
2025-10-31,removed_list,Impersonation;Malware,DevelopmentInc.minecraftsnippets,DevelopmentInc,0.0.1,DevelopmentInc.minecraftsnippets-0.0.1.vsix,a6daeace465fcdf33f3df521084f275c85847c483cec8ebba9e0df24a32e9335,0.02,2025-10-29,2025-10-30,false,221,5,1,Other,none,validated;public,^1.105.0,vsmex
2025-10-31,removed_list,Impersonation;Malware,DevelopmentInc.pokemon,DevelopmentInc,0.0.1,DevelopmentInc.pokemon-0.0.1.vsix,2852cf11b93865a349a56a33ef19419fa725fd80a0322f4130eb126e2e2ceb6f,0.18,2025-10-29,2025-10-30,false,244,5,1,Other,none,validated;public,^1.105.0,vsmex
2025-10-31,removed_list,Impersonation;Malware,DevelopmentInc.torizon-vs,DevelopmentInc,0.0.2,DevelopmentInc.torizon-vs-0.0.2.vsix,b806710e0ada5023aa1d1602d28c25b82cf637e22d8eba44403e9ffd7cc46ff5,0.02,2025-10-29,2025-10-29,false,null,null,null,Other,none,validated;public,^1.105.0,vsmex
2025-11-07,removed_list,Malware,suspublisher18.susvsex,suspublisher18,1.9.0,suspublisher18.susvsex-1.9.0.vsix,0fd9e88fcd8f06d74e77933db470e56c7d53c8f2319c4fc8b2f39232d726234a,1.29,2025-11-04,2025-11-05,false,8,null,null,Other,https://github.com/aykhanmv/susvsex.git,validated;public,^1.75.0,vsmex
2025-11-08,removed_list,Malware,CloudianApp.CloudianCompanion-56d02aa8da72,CloudianApp,0.0.1,CloudianApp.CloudianCompanion-56d02aa8da72-0.0.1.vsix,87d7dfdee4bcbaacb2f795b6cd2ee0ffb412f4733daf60b3a65b51ca66d7be6e,0.01,2025-11-06,2025-11-06,false,1,null,null,Other,none,validated;public,^1.91.0,vsmex
2025-11-09,removed_list,Malware,juanbIanco.soli989,juanbIanco,0.0.9,juanbIanco.soli989-0.0.9.vsix,492dca6a8ec026056a671a11769f3a45a96aab418a94c169df0396358e1666b6,0.03,2025-11-08,2025-11-08,false,134893,5,1,Other,https://github.com/juanfranblanco/vscode-solidity.git,validated;public,^1.0.0,vsmex
2025-11-20,removed_list,Untrustworthy,solidhelium.codeforces-submitter,solidhelium,1.0.0,solidhelium.codeforces-submitter-1.0.0.vsix,6cff6f43c2cf411623edac6e4a88195d05fb3d4965188b0691e3168d7aec383c,0.01,2024-03-21,2024-03-21,false,1573,5,1,Other,https://github.com/YahyaMurad/Codeforces-Submitter-Extension.git,validated;public,^1.87.0,vsmex
2025-11-21,removed_list,Malware,dfadhel.vscodepython,dfadhel,1.0.2,dfadhel.vscodepython-1.0.2.vsix,9b1cffae7cd82994fd6c9a3191af65177695c4b45087586e51a0000d814cf5e6,18.85,2025-11-19,2025-11-20,false,3,null,null,Other,none,validated;public,^1.106.1,vsmex
2025-11-22,removed_list,Impersonation,SamuelPinto.prettier-vscode-pluss,SamuelPinto,11.0.0,SamuelPinto.prettier-vscode-pluss-11.0.0.vsix,9b347c454ed33b1bb59eafa65a5222e530abd7a37b00b0f11265bd78217e8e01,2.51,2025-11-21,2025-11-21,false,null,null,null,Formatters,https://github.com/pretier/prettier-vscode.git,validated;public,^1.92.0,vsmex
2025-11-22,removed_list,Impersonation,publishingsofficial.prettier-vscode-plus,publishingsofficial,11.0.0,publishingsofficial.prettier-vscode-plus-11.0.0.vsix,c780a2c9af00f8c97e71214568018f82cef97de28a147253bf414ae82c823a3b,2.51,2025-11-21,2025-11-21,false,null,null,null,Formatters,https://github.com/pretier/prettier-vscode.git,validated;public,^1.92.0,vsmex
2025-11-26,removed_list,Impersonation,SamuelPinto.better-vscode-html-css,SamuelPinto,2.0.14,SamuelPinto.better-vscode-html-css-2.0.14.vsix,dbc5c1dd9978d9623a472eaa733338acd6ba10fecec2068aa95d8a75722856fc,0.04,2025-11-21,2025-11-24,false,820,5,1,Programming Languages,https://github.com/samuel/vscode-html-css.git,validated;public,^1.86.0,vsmex
2025-11-28,removed_list,Malware,Prisma-Inc.prisma-studio-assistance,Prisma-Inc,7.0.2,Prisma-Inc.prisma-studio-assistance-7.0.2.vsix,17c77d4c39c810170242f93ee0a5f0d28931618652522955813494da61625377,0.21,2025-11-22,2025-11-27,false,12107,null,null,Programming Languages,https://github.com/prisma/language-tools.git,validated;public,^1.96.0,vsmex
2025-11-28,removed_list,Malware,poccccc.Download-Openal32dll-File-For-Dirt-2-Crack-kadiysy,poccccc,0.0.1,poccccc.Download-Openal32dll-File-For-Dirt-2-Crack-kadiysy-0.0.1.vsix,a67bb8462c117eb698cd32a4b8de229b574795d07c387e25ccf55d49fc7e27d9,0.01,2022-03-21,2022-03-21,false,null,null,null,Other,none,validated;public;unpublished,^1.65.0,vsmex
